,index,variable,value
51251,Nrm1,411.67243168693415,0.0
51252,Cdh1,411.68243168693414,1.0
51253,Clb6,411.68243168693414,1.0
51254,MBF,411.68243168693414,1.0
51255,Nrm1,411.68243168693414,0.0
51256,Cdh1,411.6924316869341,1.0
51257,Clb6,411.6924316869341,1.0
51258,MBF,411.6924316869341,1.0
51259,Nrm1,411.6924316869341,0.0
51260,Cdh1,411.7024316869341,1.0
51261,Clb6,411.7024316869341,1.0
51262,MBF,411.7024316869341,1.0
51263,Nrm1,411.7024316869341,0.0
51264,Cdh1,411.7124316869341,1.0
51265,Clb6,411.7124316869341,1.0
51266,MBF,411.7124316869341,1.0
51267,Nrm1,411.7124316869341,0.0
51268,Cdh1,411.7224316869341,1.0
51269,Clb6,411.7224316869341,1.0
51270,MBF,411.7224316869341,1.0
51271,Nrm1,411.7224316869341,0.0
51272,Cdh1,411.7324316869341,1.0
51273,Clb6,411.7324316869341,1.0
51274,MBF,411.7324316869341,1.0
51275,Nrm1,411.7324316869341,0.0
51276,Cdh1,411.7424316869341,1.0
51277,Clb6,411.7424316869341,1.0
51278,MBF,411.7424316869341,1.0
51279,Nrm1,411.7424316869341,0.0
51280,Cdh1,411.7524316869341,1.0
51281,Clb6,411.7524316869341,1.0
51282,MBF,411.7524316869341,1.0
51283,Nrm1,411.7524316869341,0.0
51284,Cdh1,411.76243168693406,1.0
51285,Clb6,411.76243168693406,1.0
51286,MBF,411.76243168693406,1.0
51287,Nrm1,411.76243168693406,0.0
51288,Cdh1,411.77243168693406,1.0
51289,Clb6,411.77243168693406,1.0
51290,MBF,411.77243168693406,1.0
51291,Nrm1,411.77243168693406,0.0
51292,Cdh1,411.78243168693405,1.0
51293,Clb6,411.78243168693405,1.0
51294,MBF,411.78243168693405,1.0
51295,Nrm1,411.78243168693405,0.0
51296,Cdh1,411.79243168693404,1.0
51297,Clb6,411.79243168693404,1.0
51298,MBF,411.79243168693404,1.0
51299,Nrm1,411.79243168693404,0.0
51300,Cdh1,411.802431686934,1.0
51301,Clb6,411.802431686934,1.0
51302,MBF,411.802431686934,1.0
51303,Nrm1,411.802431686934,0.0
51304,Cdh1,411.812431686934,1.0
51305,Clb6,411.812431686934,1.0
51306,MBF,411.812431686934,1.0
51307,Nrm1,411.812431686934,0.0
51308,Cdh1,411.822431686934,1.0
51309,Clb6,411.822431686934,1.0
51310,MBF,411.822431686934,1.0
51311,Nrm1,411.822431686934,0.0
51312,Cdh1,411.832431686934,1.0
51313,Clb6,411.832431686934,1.0
51314,MBF,411.832431686934,1.0
51315,Nrm1,411.832431686934,0.0
51316,Cdh1,411.842431686934,1.0
51317,Clb6,411.842431686934,1.0
51318,MBF,411.842431686934,1.0
51319,Nrm1,411.842431686934,0.0
51320,Cdh1,411.852431686934,1.0
51321,Clb6,411.852431686934,1.0
51322,MBF,411.852431686934,1.0
51323,Nrm1,411.852431686934,0.0
51324,Cdh1,411.862431686934,1.0
51325,Clb6,411.862431686934,1.0
51326,MBF,411.862431686934,1.0
51327,Nrm1,411.862431686934,0.0
51328,Cdh1,411.87243168693396,1.0
51329,Clb6,411.87243168693396,1.0
51330,MBF,411.87243168693396,1.0
51331,Nrm1,411.87243168693396,0.0
51332,Cdh1,411.88243168693396,1.0
51333,Clb6,411.88243168693396,1.0
51334,MBF,411.88243168693396,1.0
51335,Nrm1,411.88243168693396,0.0
51336,Cdh1,411.89243168693395,1.0
51337,Clb6,411.89243168693395,1.0
51338,MBF,411.89243168693395,1.0
51339,Nrm1,411.89243168693395,0.0
51340,Cdh1,411.90243168693394,1.0
51341,Clb6,411.90243168693394,1.0
51342,MBF,411.90243168693394,1.0
51343,Nrm1,411.90243168693394,0.0
51344,Cdh1,411.9124316869339,1.0
51345,Clb6,411.9124316869339,1.0
51346,MBF,411.9124316869339,1.0
51347,Nrm1,411.9124316869339,0.0
51348,Cdh1,411.9224316869339,1.0
51349,Clb6,411.9224316869339,1.0
51350,MBF,411.9224316869339,1.0
51351,Nrm1,411.9224316869339,0.0
51352,Cdh1,411.9324316869339,1.0
51353,Clb6,411.9324316869339,1.0
51354,MBF,411.9324316869339,1.0
51355,Nrm1,411.9324316869339,0.0
51356,Cdh1,411.9424316869339,1.0
51357,Clb6,411.9424316869339,1.0
51358,MBF,411.9424316869339,1.0
51359,Nrm1,411.9424316869339,0.0
51360,Cdh1,411.9524316869339,1.0
51361,Clb6,411.9524316869339,1.0
51362,MBF,411.9524316869339,1.0
51363,Nrm1,411.9524316869339,0.0
