,index,variable,value
41123,Nrm1,366.4904858605004,0.0
41124,Cdh1,366.5004858605004,1.0
41125,Clb6,366.5004858605004,0.0
41126,MBF,366.5004858605004,1.0
41127,Nrm1,366.5004858605004,0.0
41128,Cdh1,366.5104858605004,1.0
41129,Clb6,366.5104858605004,0.0
41130,MBF,366.5104858605004,1.0
41131,Nrm1,366.5104858605004,0.0
41132,Cdh1,366.5204858605004,1.0
41133,Clb6,366.5204858605004,0.0
41134,MBF,366.5204858605004,1.0
41135,Nrm1,366.5204858605004,0.0
41136,Cdh1,366.5304858605004,1.0
41137,Clb6,366.5304858605004,0.0
41138,MBF,366.5304858605004,1.0
41139,Nrm1,366.5304858605004,0.0
41140,Cdh1,366.5404858605004,1.0
41141,Clb6,366.5404858605004,0.0
41142,MBF,366.5404858605004,1.0
41143,Nrm1,366.5404858605004,0.0
41144,Cdh1,366.5504858605004,1.0
41145,Clb6,366.5504858605004,0.0
41146,MBF,366.5504858605004,1.0
41147,Nrm1,366.5504858605004,0.0
41148,Cdh1,366.56048586050036,1.0
41149,Clb6,366.56048586050036,0.0
41150,MBF,366.56048586050036,1.0
41151,Nrm1,366.56048586050036,0.0
41152,Cdh1,366.57048586050036,1.0
41153,Clb6,366.57048586050036,0.0
41154,MBF,366.57048586050036,1.0
41155,Nrm1,366.57048586050036,0.0
41156,Cdh1,366.58048586050035,1.0
41157,Clb6,366.58048586050035,0.0
41158,MBF,366.58048586050035,1.0
41159,Nrm1,366.58048586050035,0.0
41160,Cdh1,366.59048586050034,1.0
41161,Clb6,366.59048586050034,0.0
41162,MBF,366.59048586050034,1.0
41163,Nrm1,366.59048586050034,0.0
41164,Cdh1,366.6004858605003,1.0
41165,Clb6,366.6004858605003,0.0
41166,MBF,366.6004858605003,1.0
41167,Nrm1,366.6004858605003,0.0
41168,Cdh1,366.6104858605003,1.0
41169,Clb6,366.6104858605003,0.0
41170,MBF,366.6104858605003,1.0
41171,Nrm1,366.6104858605003,0.0
41172,Cdh1,366.6204858605003,1.0
41173,Clb6,366.6204858605003,0.0
41174,MBF,366.6204858605003,1.0
41175,Nrm1,366.6204858605003,0.0
41176,Cdh1,366.6304858605003,1.0
41177,Clb6,366.6304858605003,0.0
41178,MBF,366.6304858605003,1.0
41179,Nrm1,366.6304858605003,0.0
41180,Cdh1,366.6404858605003,1.0
41181,Clb6,366.6404858605003,0.0
41182,MBF,366.6404858605003,1.0
41183,Nrm1,366.6404858605003,0.0
41184,Cdh1,366.6504858605003,1.0
41185,Clb6,366.6504858605003,0.0
41186,MBF,366.6504858605003,1.0
41187,Nrm1,366.6504858605003,0.0
41188,Cdh1,366.6604858605003,1.0
41189,Clb6,366.6604858605003,0.0
41190,MBF,366.6604858605003,1.0
41191,Nrm1,366.6604858605003,0.0
41192,Cdh1,366.67048586050026,1.0
41193,Clb6,366.67048586050026,0.0
41194,MBF,366.67048586050026,1.0
41195,Nrm1,366.67048586050026,0.0
41196,Cdh1,366.68048586050026,1.0
