,cln3,whi5,sbf,cln2,mbf,clb5,ori,clb2G,cdc5,mcm1,clb2M,sac,cdc20,spoc,cdc14,swi5,cdh1,sic1,nrm1,time,cell_size,critical_size,divide status,SPN_p,SPO_p
120,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,102.7786654079324,0.8572351581221319,0.6133950833552992,,0.0,0.0
121,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,102.91259823625795,0.45800221483040965,0.6260870852702292,divided !!!,0.0,0.0
122,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,103.86015385286024,0.46135610102502056,0.6260870852702292,,0.0,0.0
123,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,104.25884087116718,0.46277458971303037,0.6260870852702292,,0.0,0.0
124,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,105.32027109544406,0.4665723507588797,0.6260870852702292,,0.0,0.0
125,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,105.89175880972265,0.4686300055679805,0.6260870852702292,,0.0,0.0
126,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,106.54478538655003,0.47099235432733644,0.6260870852702292,,0.0,0.0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,107.43506956139898,0.47423218767771563,0.6260870852702292,,0.0,0.0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,108.37441895423561,0.47767473946639943,0.6260870852702292,,0.0,0.0
129,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,109.50484839938541,0.4818507150348675,0.6260870852702292,,0.0,0.0
130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,111.17281278752591,0.48807919231510505,0.6260870852702292,,0.0,0.0
131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,112.2574530676941,0.49217256761448513,0.6260870852702292,,0.0,0.0
132,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,113.02385005840243,0.4950855911360807,0.6260870852702292,,0.0,0.0
133,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,113.88349314292341,0.4983735572346483,0.6260870852702292,,0.0,0.0
134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,114.98798133735214,0.502630078869202,0.6260870852702292,,0.0,0.0
135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,116.08590460041273,0.5068973304194149,0.6260870852702292,,0.0,0.0
136,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,117.03503999690766,0.5106154799551331,0.6260870852702292,,0.0,0.0
