,cdh1_K_Theta,cdc5_K_Theta,Mean_Time
257,23.099999999999998,24.0,59.12146795630768
258,23.099999999999998,26.4,61.62084357412867
259,23.099999999999998,28.0,63.33940135105864
260,23.099999999999998,22.950000000000003,58.163271254112075
261,23.099999999999998,24.65,59.809918249936224
262,23.099999999999998,25.5,60.700884346595515
263,23.099999999999998,28.049999999999997,63.28752950701762
264,23.099999999999998,29.75,64.99191852400529
265,23.099999999999998,24.3,59.52451654291736
266,23.099999999999998,26.099999999999998,61.22000022416519
267,23.099999999999998,27.0,62.11669705432827
268,23.099999999999998,29.7,64.93512968345462
269,23.099999999999998,31.5,66.67940074789286
270,24.5,17.55,54.15382779026537
271,24.5,18.849999999999998,55.40620295397879
272,24.5,19.5,56.19758244436486
273,24.5,21.45,58.023785011986995
274,24.5,22.75,59.19230743932673
275,24.5,18.900000000000002,55.50457155208002
276,24.5,20.3,56.947985719096096
277,24.5,21.0,57.50524810389005
278,24.5,23.099999999999998,59.74674895670136
279,24.5,24.5,61.21396922836931
280,24.5,20.25,56.783494270279775
281,24.5,21.75,58.297112447997286
282,24.5,22.5,59.19405858267656
283,24.5,24.75,61.40463353984913
284,24.5,26.25,62.9613611248064
285,24.5,21.6,58.29853730749387
286,24.5,23.2,59.90768367238481
287,24.5,24.0,60.600337080460854
288,24.5,26.4,62.89763260879774
289,24.5,28.0,64.63770621669657
290,24.5,22.950000000000003,59.49579106308737
291,24.5,24.65,61.15559257501997
292,24.5,25.5,62.0049527739002
293,24.5,28.049999999999997,64.52037607219
294,24.5,29.75,66.25834965458385
295,24.5,24.3,60.96796070472595
296,24.5,26.099999999999998,62.77634264367721
297,24.5,27.0,63.613101815899604
298,24.5,29.7,66.4066143327419
299,24.5,31.5,68.2373370954602
300,20.25,17.55,49.80019832860041
301,20.25,18.849999999999998,51.177098621278
302,20.25,19.5,51.81477890002116
303,20.25,21.45,53.66446091811303
304,20.25,22.75,55.13875990297886
305,20.25,18.900000000000002,51.26346133966573
306,20.25,20.3,52.677079380019244
307,20.25,21.0,53.42999447202406
308,20.25,23.099999999999998,55.60892851574003
309,20.25,24.5,56.797508774824706
310,20.25,20.25,52.550279092240565
311,20.25,21.75,54.05263330652138
312,20.25,22.5,54.90980979567795
313,20.25,24.75,57.13864284856542
314,20.25,26.25,58.430076700361845
315,20.25,21.6,53.91909171927735
316,20.25,23.2,55.51952215579059
317,20.25,24.0,56.39998886598962
318,20.25,26.4,58.65744067160114
319,20.25,28.0,60.29412720982617
320,20.25,22.950000000000003,55.27827014905424
321,20.25,24.65,56.88929352665503
322,20.25,25.5,57.78420807555975
323,20.25,28.049999999999997,60.36206197979949
324,20.25,29.75,62.06080479150731
325,20.25,24.3,56.624159932290034
326,20.25,26.099999999999998,58.456948531766166
327,20.25,27.0,59.44950439021889
328,20.25,29.7,62.10994520666978
329,20.25,31.5,63.85946156336664
330,21.75,17.55,51.39544894326836
331,21.75,18.849999999999998,52.72641264375485
332,21.75,19.5,53.29278706788291
333,21.75,21.45,55.206985734780794
334,21.75,22.75,56.671923320407366
335,21.75,18.900000000000002,52.780747387207725
336,21.75,20.3,54.082117030940765
337,21.75,21.0,54.865895025188365
338,21.75,23.099999999999998,56.89664997018847
339,21.75,24.5,58.385262685202235
340,21.75,20.25,54.1816776067161
341,21.75,21.75,55.532435659384994
342,21.75,22.5,56.425633857047856
343,21.75,24.75,58.59116332172483
344,21.75,26.25,60.08750364265376
345,21.75,21.6,55.319637363540174
346,21.75,23.2,57.064274359663415
347,21.75,24.0,57.796412604779526
348,21.75,26.4,60.234710484666095
349,21.75,28.0,61.83834972285035
350,21.75,22.950000000000003,56.856663543829505
351,21.75,24.65,58.48717571772925
